sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceUrl	referenceCitation
	Zalophus wollebaeki	RO:0002470	eats		Apogon atradorsatus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Brotula clarkae		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Diplectrum 		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Dosidicus gigas		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Holacanthus passer		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Lepophidium		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Lutjanus aratus		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Ophidion		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Opisthonema berlangai		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
	Zalophus wollebaeki	RO:0002470	eats		Opistognathus galapagensis		"San Cristobal, Galapagos"	-0.828066	-89.413605		http://repositorio.usfq.edu.ec/handle/23000/5652	"Carranco, S. 2015. Estructura tr—fica del lobo marino de Galapagos (Zalophus wollebaeki) en funcion de la variabilidad estacional del archipielago. Tesis de Licenciatura en Ecolog’a Marina. Universidad San Francisco de Quito, Colegio de Ciencias Biol—gicas y Ambientales. Quito, Ecuador. "
